α[°],180,174,169,163,157,151,145,139,133,127,120,113,106,99,91,83
"C
α","1,00","0,98","0,97","0,96","0,94","0,93","0,91","0,89","0,87","0,85","0,82","0,80","0,77","0,73","0,70","0,65"
