"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,224,236,250,280,315,355,400,450,500,560,600,630
50,"1,21","1,34","1,48","1,79","2,15","2,56","3,01","3,52","4,01","4,61","5,01","5,30"
100,"2,26","2,50","2,77","3,37","4,06","4,84","5,72","6,69","7,64","8,79","9,55","10,11"
150,"3,23","3,59","3,99","4,87","5,88","7,02","8,31","9,72","11,12","12,79","13,89","14,72"
200,"4,17","4,63","5,17","6,31","7,63","9,13","10,81","12,65","14,48","16,66","18,10","19,17"
300,"5,94","6,62","7,40","9,07","11,00","13,19","15,62","18,30","20,94","24,08","26,15","27,69"
400,"7,62","8,50","9,53","11,70","14,22","17,06","20,21","23,67","27,08","31,09","33,73","35,69"
600,"10,75","12,03","13,51","16,64","20,25","24,30","28,77","33,62","38,34","43,83","47,37","49,97"
700,"12,22","13,68","15,37","18,96","23,08","27,68","32,73","38,17","43,43","49,47","53,33","56,13"
750,"12,92","14,48","16,28","20,08","24,44","29,30","34,62","40,33","45,82","52,09","56,06","58,92"
900,"14,95","16,77","18,86","23,29","28,32","33,90","39,94","46,32","52,34","59,04","63,17","66,08"
1.000,"16,22","18,20","20,49","25,29","30,74","36,73","43,15","49,86","56,09","62,87","66,93*","69,72*"
1.400,"20,60","23,16","26,07","32,12","38,77","45,81","52,95",,"65,40*",,,
1.500,"21,52","24,18","27,23","33,49","40,33","47,46","54,53*",,,,,
1.700,"23,10","25,96","29,21","35,81","42,84","49,91*",,,,,,
1.800,"23,76","26,70","30,03","36,73","43,77",,,,,,,
2.000,"24,81","27,87","31,30","38,07",,,,,,,,
2.500,"25,68","28,76*","32,08*",,,,,,,,,
