"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,40,45,50,56,71,80,90,100,112,125,132,150
100,"0,02","0,03","0,03","0,04","0,06","0,07","0,09","0,10","0,12","0,13","0,14","0,17"
200,"0,03","0,05","0,06","0,08","0,11","0,14","0,16","0,19","0,22","0,25","0,27","0,32"
500,"0,06","0,10","0,13","0,16","0,26","0,31","0,37","0,43","0,50","0,58","0,62","0,72"
700,"0,08","0,12","0,17","0,22","0,34","0,42","0,50","0,58","0,68","0,78","0,84","0,98"
900,"0,10","0,15","0,20","0,27","0,43","0,52","0,62","0,73","0,85","0,97","1,04","1,22"
1.000,"0,10","0,16","0,22","0,29","0,47","0,57","0,68","0,80","0,93","1,07","1,14","1,33"
1.400,"0,13","0,21","0,29","0,38","0,62","0,76","0,91","1,06","1,24","1,42","1,52","1,77"
1.500,"0,13","0,22","0,30","0,41","0,66","0,81","0,97","1,12","1,31","1,51","1,61","1,88"
1.700,"0,14","0,24","0,33","0,45","0,73","0,89","1,07","1,25","1,45","1,67","1,79","2,07"
1.800,"0,14","0,25","0,35","0,47","0,76","0,94","1,12","1,31","1,52","1,75","1,87","2,17"
2.500,"0,17","0,31","0,44","0,60","0,99","1,22","1,46","1,69","1,96","2,24","2,39","2,73"
2.900,"0,18","0,33","0,49","0,67","1,11","1,36","1,63","1,88","2,18","2,47","2,62","2,97"
3.000,"0,18","0,34","0,50","0,68","1,13","1,39","1,67","1,93","2,22","2,52","2,67","3,02"
3.500,"0,18","0,37","0,55","0,76","1,26","1,55","1,84","2,13","2,44","2,74","2,88","3,20"
3.600,"0,18","0,37","0,56","0,77","1,28","1,57","1,88","2,16","2,47","2,77","2,92","3,22"
4.000,"0,18","0,39","0,59","0,82","1,37","1,68","1,99","2,28","2,59","2,88","3,01","3,26*"
5.000,"0,17","0,41","0,65","0,92","1,54","1,86","2,19","2,46","2,71","2,90*","2,95*",
6.000,"0,14","0,41","0,67","0,97","1,62","1,94","2,22","2,42*",,,,
