"TABLE 4 - P (kW) referred to Ø (mm)
b",,,,,,,,,,,,
RPM / Ø,140,150,160,170,180,200,225,250,280,315,355,400
100,"0,51","0,59","0,66","0,73","0,81","0,95","1,13","1,31","1,53","1,78","2,06","2,37"
200,"0,93","1,07","1,22","1,36","1,50","1,78","2,12","2,46","2,87","3,34","3,88","4,47"
500,"2,02","2,36","2,69","3,02","3,34","3,99","4,79","5,59","6,53","7,61","8,83","10,18"
700,"2,67","3,12","3,57","4,02","4,46","5,34","6,42","7,49","8,75","10,20","11,82","13,59"
900,"3,27","3,83","4,40","4,95","5,51","6,60","7,95","9,27","10,83","12,59","14,55","16,67"
1.000,"3,55","4,17","4,79","5,40","6,01","7,21","8,68","10,12","11,80","13,71","15,82","18,07"
1.400,"4,59","5,42","6,24","7,05","7,85","9,42","11,33","13,18","15,30","17,64","20,12","22,64"
1.500,"4,82","5,70","6,57","7,42","8,27","9,93","11,93","13,86","16,06","18,46","20,98","23,49*"
1.700,"5,26","6,23","7,19","8,13","9,06","10,87","13,04","15,10","17,43","19,91","22,42*",
1.800,"5,47","6,48","7,48","8,47","9,43","11,31","13,55","15,67","18,03","20,53","22,99*",
2.000,"5,85","6,95","8,03","9,09","10,12","12,12","14,48","16,67","19,07","21,52*",,
2.500,"6,63","7,90","9,14","10,34","11,50","13,70","16,19","18,38*",,,,
2.900,"7,05","8,43","9,75","11,02","12,23","14,46*","16,86*",,,,,
3.000,"7,13","8,53","9,87","11,14","12,35","14,57*",,,,,,
3.500,"7,32","8,78","10,15","11,42*","12,59*",,,,,,,
3.600,"7,32","8,78","10,14","11,40*","12,56*",,,,,,,
4.000,"7,17","8,61*","9,93*",,,,,,,,,
4.600,"6,48*",,,,,,,,,,,
