TABLE 2 - CORRECTION FACTOR Cγ,,,,,,,,,,,,,,,,,,,
(T/T=V/V DRIVES; T/P=V/FLAT DRIVES; γ=ARC OF CONTACT ON THE SMALLER PULLEY),,,,,,,,,,,,,,,,,,,
,γ,180°,175°,170°,165°,160°,155°,150°,145°,140°,135°,130°,125°,120°,115°,110°,105°,100°,90°
"C
γ",T/T,1,"0,99","0,98","0,96","0,95","0,93","0,92","0,90","0,89","0,87","0,86","0,84","0,82","0,80","0,78","0,76","0,74","0,69"
,T/P,"0,75","0,76","0,77","0,79","0,80","0,81","0,82","0,83","0,84","0,85","0,86","0,84","0,82","0,80","0,78","0,76","0,74","0,69"
