d,n1,Pb
118.0,2235.0,2261.0
132.0,2235.0,90.0
140.0,2235.0,2286.0
112.0,92.0,2337.0
118.0,92.0,93.0
132.0,92.0,2360.0
140.0,92.0,94.0
112.0,2388.0,95.0
118.0,2388.0,2413.0
132.0,2388.0,96.0
140.0,2388.0,2438.0
112.0,96.0,1.0
118.0,96.0,2.0
132.0,96.0,2450.0
140.0,96.0,97.0
112.0,2462.0,97.0
118.0,2462.0,1.0
132.0,2462.0,2.0
140.0,2462.0,2477.0
112.0,98.0,2500.0
118.0,98.0,99.0
132.0,98.0,2525.0
140.0,98.0,100.0
112.0,2540.0,101.0
118.0,2540.0,2560.0
132.0,2540.0,102.0
140.0,2540.0,2591.0
112.0,104.0,2642.0
118.0,104.0,105.0
132.0,104.0,2667.0
140.0,104.0,106.0
112.0,2692.0,108.0
118.0,2692.0,2750.0
132.0,2692.0,110.0
140.0,2692.0,2800.0
112.0,111.0,2818.0
118.0,111.0,112.0
132.0,111.0,2845.0
140.0,111.0,112.0
112.0,1.0,2.0
118.0,1.0,2858.0
132.0,1.0,114.0
140.0,1.0,2888.0
112.0,115.0,2921.0
118.0,115.0,116.0
132.0,115.0,2950.0
140.0,115.0,117.0
112.0,2965.0,118.0
118.0,2965.0,3000.0
132.0,2965.0,120.0
140.0,2965.0,3048.0
112.0,122.0,3099.0
118.0,122.0,124.0
132.0,122.0,3150.0
140.0,122.0,126.0
112.0,3200.0,128.0
118.0,3200.0,3250.0
132.0,3200.0,130.0
140.0,3200.0,3302.0
112.0,132.0,3350.0
118.0,132.0,134.0
132.0,132.0,3404.0
140.0,132.0,136.0
112.0,3456.0,138.0
118.0,3456.0,3498.0
132.0,3456.0,140.0
140.0,3456.0,3550.0
112.0,142.0,3607.0
118.0,142.0,144.0
132.0,142.0,3658.0
140.0,142.0,147.0
112.0,3733.0,148.0
118.0,3733.0,3750.0
132.0,3733.0,150.0
140.0,3733.0,3808.0
112.0,153.0,3902.0
118.0,153.0,158.0
132.0,153.0,4000.0
140.0,153.0,160.0
112.0,4064.0,161.0
118.0,4064.0,1.0
132.0,4064.0,2.0
140.0,4064.0,4100.0
112.0,162.0,4115.0
118.0,162.0,165.0
132.0,162.0,4193.0
140.0,162.0,166.0
112.0,4216.0,167.0
118.0,4216.0,4242.0
132.0,4216.0,168.0
140.0,4216.0,4267.0
112.0,170.0,4318.0
118.0,170.0,173.0
132.0,170.0,4394.0
140.0,170.0,175.0
112.0,4445.0,177.0
118.0,4445.0,4500.0
132.0,4445.0,187.0
140.0,4445.0,4750.0
112.0,190.0,4826.0
118.0,190.0,195.0
132.0,190.0,4953.0
140.0,190.0,197.0
112.0,5000.0,204.0
118.0,5000.0,5182.0
132.0,5000.0,208.0
140.0,5000.0,5300.0
112.0,210.0,5334.0
118.0,210.0,216.0
132.0,210.0,5486.0
140.0,210.0,220.0
112.0,5550.0,222.0
118.0,5550.0,5600.0
132.0,5550.0,225.0
140.0,5550.0,5678.0
112.0,228.0,5753.0
118.0,228.0,236.0
132.0,228.0,6000.0
140.0,228.0,238.0
112.0,6045.0,240.0
118.0,6045.0,6062.0
132.0,6045.0,248.0
140.0,6045.0,6263.0
112.0,250.0,6300.0
118.0,250.0,255.0
132.0,250.0,6438.0
140.0,250.0,264.0
112.0,6670.0,265.0
118.0,6670.0,6700.0
132.0,6670.0,270.0
140.0,6670.0,6822.0
112.0,276.0,6973.0
118.0,276.0,280.0
132.0,276.0,7100.0
140.0,276.0,285.0
112.0,7203.0,295.0
118.0,7203.0,7493.0
132.0,7203.0,297.0
140.0,7203.0,7500.0
112.0,300.0,7582.0
118.0,300.0,303.0
132.0,300.0,7650.0
140.0,300.0,314.0
112.0,7976.0,315.0
118.0,7976.0,7965.0
132.0,7976.0,316.0
140.0,7976.0,8000.0
112.0,320.0,8093.0
118.0,320.0,330.0
132.0,320.0,8382.0
140.0,320.0,336.0
112.0,8500.0,345.0
118.0,8500.0,8723.0
132.0,8500.0,360.0
140.0,8500.0,9107.0
112.0,394.0,10000.0
118.0,394.0,420.0
132.0,394.0,10632.0
140.0,394.0,424.0
