d,n1,Pb
112.0,1.0,1.01
118.0,1.0,1.02
132.0,1.0,1.03
140.0,1.0,1.04
112.0,1.06,1.07
118.0,1.06,1.08
132.0,1.06,1.09
140.0,1.06,1.12
112.0,1.13,1.16
118.0,1.13,1.17
132.0,1.13,1.22
140.0,1.13,1.23
112.0,1.32,1.33
118.0,1.32,1.5
132.0,1.32,1.51
140.0,1.32,100.0
112.0,0.0,0.0
118.0,0.0,0.01
132.0,0.0,0.01
140.0,0.0,0.02
112.0,0.02,0.03
118.0,0.02,0.03
132.0,0.02,0.04
140.0,0.02,0.04
112.0,200.0,0.0
118.0,200.0,0.01
132.0,200.0,0.02
140.0,200.0,0.03
112.0,0.04,0.04
118.0,0.04,0.05
132.0,0.04,0.06
140.0,0.04,0.07
112.0,0.08,300.0
118.0,0.08,0.0
132.0,0.08,0.01
140.0,0.08,0.03
112.0,0.04,0.05
118.0,0.04,0.07
132.0,0.04,0.08
140.0,0.04,0.09
112.0,0.11,0.12
118.0,0.11,400.0
132.0,0.11,0.0
140.0,0.11,0.02
112.0,0.04,0.05
118.0,0.04,0.07
132.0,0.04,0.09
140.0,0.04,0.11
112.0,0.12,0.14
118.0,0.12,0.16
132.0,0.12,500.0
140.0,0.12,0.0
112.0,0.02,0.04
118.0,0.02,0.07
132.0,0.02,0.09
140.0,0.02,0.11
112.0,0.13,0.16
118.0,0.13,0.18
132.0,0.13,0.2
140.0,0.13,600.0
112.0,0.0,0.03
118.0,0.0,0.05
132.0,0.0,0.08
140.0,0.0,0.11
112.0,0.13,0.16
118.0,0.13,0.19
132.0,0.13,0.21
140.0,0.13,0.24
112.0,700.0,0.0
118.0,700.0,0.03
132.0,700.0,0.06
140.0,700.0,0.09
112.0,0.12,0.15
118.0,0.12,0.19
132.0,0.12,0.22
140.0,0.12,0.25
112.0,0.28,800.0
118.0,0.28,0.0
132.0,0.28,0.04
140.0,0.28,0.07
112.0,0.11,0.14
118.0,0.11,0.18
132.0,0.11,0.21
140.0,0.11,0.25
112.0,0.28,0.32
118.0,0.28,900.0
132.0,0.28,0.0
140.0,0.28,0.04
112.0,0.08,0.12
118.0,0.08,0.16
132.0,0.08,0.2
140.0,0.08,0.24
112.0,0.28,0.32
118.0,0.28,0.36
132.0,0.28,1000.0
140.0,0.28,0.0
112.0,0.04,0.09
118.0,0.04,0.13
132.0,0.04,0.18
140.0,0.04,0.22
112.0,0.27,0.31
118.0,0.27,0.35
132.0,0.27,0.4
140.0,0.27,1200.0
112.0,0.0,0.05
118.0,0.0,0.11
132.0,0.0,0.16
140.0,0.0,0.21
112.0,0.26,0.32
118.0,0.26,0.37
132.0,0.26,0.42
140.0,0.26,0.48
112.0,1400.0,0.0
118.0,1400.0,0.06
132.0,1400.0,0.12
140.0,1400.0,0.19
112.0,0.25,0.31
118.0,0.25,0.37
132.0,0.25,0.43
140.0,0.25,0.49
112.0,0.56,1600.0
118.0,0.56,0.0
132.0,0.56,0.07
140.0,0.56,0.14
112.0,0.21,0.28
118.0,0.21,0.35
132.0,0.21,0.43
140.0,0.21,0.5
112.0,0.56,0.63
118.0,0.56,1800.0
132.0,0.56,0.0
140.0,0.56,0.08
112.0,0.16,0.24
118.0,0.16,0.32
132.0,0.16,0.4
140.0,0.16,0.48
112.0,0.56,0.64
118.0,0.56,0.71
132.0,0.56,2000.0
140.0,0.56,0.0
112.0,0.09,0.18
118.0,0.09,0.27
132.0,0.09,0.35
140.0,0.09,0.44
112.0,0.53,0.62
118.0,0.53,0.71
132.0,0.53,0.79
140.0,0.53,2400.0
112.0,0.0,0.11
118.0,0.0,0.21
132.0,0.0,0.32
140.0,0.0,0.42
112.0,0.53,0.64
118.0,0.53,0.74
132.0,0.53,0.85
140.0,0.53,0.95
112.0,2800.0,0.0
118.0,2800.0,0.12
132.0,2800.0,0.25
140.0,2800.0,0.37
112.0,0.49,0.62
118.0,0.49,0.74
132.0,0.49,0.87
140.0,0.49,0.99
112.0,1.11,3200.0
118.0,1.11,0.0
132.0,1.11,0.14
140.0,1.11,0.28
112.0,0.42,0.56
118.0,0.42,0.7
132.0,0.42,0.85
140.0,0.42,0.99
112.0,1.13,1.27
118.0,1.13,3500.0
132.0,1.13,0.0
140.0,1.13,0.15
112.0,0.31,0.46
118.0,0.31,0.62
132.0,0.31,0.77
140.0,0.31,0.93
112.0,1.09,1.24
118.0,1.09,1.39
132.0,1.09,4000.0
140.0,1.09,0.0
112.0,0.18,0.35
118.0,0.18,0.53
132.0,0.18,0.7
140.0,0.18,0.88
112.0,1.06,1.24
118.0,1.06,1.41
132.0,1.06,1.59
140.0,1.06,4600.0
112.0,0.0,0.2
118.0,0.0,0.41
132.0,0.0,0.61
140.0,0.0,0.81
112.0,1.01,1.22
118.0,1.01,1.43
132.0,1.01,1.62
140.0,1.01,1.82
140.0,30.0,38.0
112.0,37.0,1.0
118.0,37.0,2.0
132.0,37.0,950.0
140.0,37.0,39.0
112.0,3.0,4.0
118.0,3.0,1013.0
132.0,3.0,43.0
140.0,3.0,1090.0
112.0,45.0,1150.0
118.0,45.0,46.0
132.0,45.0,1168.0
140.0,45.0,47.0
112.0,1194.0,48.0
118.0,1194.0,1220.0
132.0,1194.0,49.0
140.0,1194.0,1250.0
112.0,51.0,1295.0
118.0,51.0,52.0
132.0,51.0,1320.0
140.0,51.0,53.0
112.0,1350.0,54.0
118.0,1350.0,1372.0
132.0,1350.0,55.0
140.0,1350.0,1400.0
112.0,56.0,1425.0
118.0,56.0,57.0
132.0,56.0,1450.0
140.0,56.0,58.0
112.0,1473.0,59.0
118.0,1473.0,1500.0
132.0,1473.0,60.0
140.0,1473.0,1524.0
112.0,61.0,1560.0
118.0,61.0,62.0
132.0,61.0,1576.0
140.0,61.0,62.0
112.0,1.0,4.0
118.0,1.0,1583.0
132.0,1.0,63.0
140.0,1.0,1600.0
112.0,65.0,1650.0
118.0,65.0,66.0
132.0,65.0,1676.0
140.0,65.0,67.0
